latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.790861,76.6313,88.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_mean (°C)
2016-10-18,30.3,23.2,0.00,7.7,26.3
2016-10-19,29.7,23.2,1.10,12.0,26.1
2016-10-20,29.1,24.0,2.60,11.7,25.5
2016-10-21,28.2,23.4,4.40,9.5,24.9
2016-10-22,27.7,23.2,4.90,10.6,24.9
2016-10-23,28.8,23.2,0.70,11.4,25.0
2016-10-24,28.9,23.3,0.50,9.8,25.3
2016-10-25,29.3,22.8,0.90,9.6,25.6
2016-10-26,30.1,23.1,0.80,7.3,25.8
2016-10-27,30.1,22.9,2.20,8.3,25.4
2016-10-28,30.1,22.8,1.40,11.5,26.3
2016-10-29,29.7,23.7,1.40,12.4,25.8
2016-10-30,31.0,23.3,14.40,8.8,26.1
2016-10-31,27.5,23.0,16.00,5.2,24.8
2016-11-01,29.9,23.3,0.70,8.8,26.0
2016-11-02,30.9,23.3,0.30,7.3,26.7
2016-11-03,31.3,23.0,2.20,7.6,26.4
2016-11-04,27.7,23.4,3.30,9.1,25.0
2016-11-05,29.9,23.9,0.70,11.9,26.2
2016-11-06,30.5,21.3,0.00,12.1,25.3
2016-11-07,31.0,22.2,0.00,7.3,26.1
2016-11-08,29.8,21.4,0.00,8.0,26.1
2016-11-09,29.9,22.1,0.00,9.6,25.9
2016-11-10,30.6,21.8,0.00,9.3,26.3
2016-11-11,31.8,21.5,0.00,8.4,26.8
2016-11-12,32.4,22.5,0.00,7.6,27.3
2016-11-13,32.3,23.2,1.90,9.2,26.9
2016-11-14,32.1,23.7,3.60,12.5,26.5
2016-11-15,30.3,22.1,0.00,11.2,26.9
2016-11-16,32.3,21.2,0.20,16.4,27.4
2016-11-17,32.2,23.7,0.00,17.8,27.6
2016-11-18,33.0,22.2,0.00,14.5,28.0
2016-11-19,32.3,21.3,0.00,13.3,27.4
2016-11-20,30.9,22.5,0.00,10.5,26.7
2016-11-21,33.3,21.8,0.00,12.4,27.6
2016-11-22,34.0,22.0,0.00,11.0,27.7
2016-11-23,33.7,21.8,0.00,14.1,27.5
2016-11-24,33.2,20.9,0.00,12.8,27.0
2016-11-25,33.9,20.1,0.00,12.1,27.5
2016-11-26,33.4,20.6,0.00,7.5,27.2
2016-11-27,34.6,21.3,0.00,6.5,28.1
2016-11-28,34.2,22.2,0.00,6.6,27.2
2016-11-29,31.1,23.3,0.00,5.4,26.7
2016-11-30,31.1,22.8,0.00,6.3,26.6
2016-12-01,29.0,21.5,22.40,6.0,23.8
2016-12-02,29.5,21.4,3.10,5.3,25.5
2016-12-03,29.1,23.0,13.90,7.6,25.1
2016-12-04,30.2,21.8,0.00,13.0,25.6
2016-12-05,30.8,21.8,0.00,12.8,26.6
2016-12-06,30.0,21.6,0.00,12.1,25.6
2016-12-07,30.6,20.6,0.00,13.3,25.3
2016-12-08,31.1,21.4,0.10,5.6,26.3
2016-12-09,30.7,22.2,0.40,11.9,25.9
2016-12-10,31.4,21.7,0.00,12.6,26.0
2016-12-11,30.9,21.1,0.00,12.6,25.5
2016-12-12,30.0,20.5,1.90,16.3,25.4
2016-12-13,26.1,22.0,8.00,10.7,23.2
